taxon,W,pval,qval,sig
t__SGB71759,5.07996504397829,5.4344875989369e-07,1.98358797361197e-06,TRUE
t__SGB63327,-3.60432612254589,0.000341653332923821,0.00074449830756534,TRUE
t__SGB2290,-0.488292292226015,0.625476461734138,0.680220211643829,FALSE
t__SGB4665,2.44826763552353,0.0155155100495359,0.0244233365739325,TRUE
t__SGB17244_group,4.77740446347504,2.17535627944556e-06,7.05782259553448e-06,TRUE
t__SGB4781,-1.37236110356366,0.170346566079936,0.211664669341878,FALSE
t__SGB25416,-6.13263370079004,1.76199922669088e-09,1.11848646563856e-08,TRUE
t__SGB1644,6.45140126736997,3.77470612425867e-10,2.62431949591317e-09,TRUE
t__SGB17256,3.5072161133829,0.000525374705396815,0.00109578152839907,TRUE
t__SGB4422,3.92019914943334,0.000106955090823694,0.000257232499833907,TRUE
t__SGB4608,-6.35560556560034,2.99134541138889e-10,2.10475387982062e-09,TRUE
t__SGB1626,3.95326673234749,8.45699994943113e-05,0.000208391897488092,TRUE
t__SGB14535_group,0.252212242087422,0.800924089626448,0.830798700429566,FALSE
t__SGB15300,4.74852033621503,2.35190698460249e-06,7.58847336468428e-06,TRUE
t__SGB1861,-3.90517923303013,9.90684734964723e-05,0.000241066618841416,TRUE
t__SGB1853,-12.3500749600048,5.1222456400677e-27,2.49282621149962e-25,TRUE
t__SGB6783,6.30049284324281,2.85594995588075e-09,1.7556576570888e-08,TRUE
t__SGB6796,8.2196887534623,6.08744783020732e-15,7.5639777294491e-14,TRUE
t__SGB15373,2.20766391189702,0.0276960974297258,0.0421211481743747,TRUE
t__SGB5190,-2.88338819541119,0.00402600781244247,0.00714646979473071,TRUE
t__SGB15238,2.86934074397349,0.00449970083749657,0.00793904921177643,TRUE
t__SGB15119,-8.56843489986109,2.76158851734208e-15,3.75062254448319e-14,TRUE
t__SGB14824_group,-2.46285743345286,0.0144271701553143,0.0229576767594103,TRUE
t__SGB15323,10.081385262555,4.04648871564501e-21,1.18157470496834e-19,TRUE
t__SGB14322,4.13774388339072,4.89462402515457e-05,0.000124823599593461,TRUE
t__SGB6806,5.62401645773939,5.65720348080621e-08,2.6014227029849e-07,TRUE
t__SGB15370,2.78704567121803,0.00568029705577856,0.00975674553110199,TRUE
t__SGB2296,-0.582061190082191,0.560829797730934,0.615647747885085,FALSE
t__SGB14816_group,1.6086103078766,0.10904415554801,0.142146845625084,FALSE
t__SGB5076,4.91067828092356,1.92174991823673e-06,6.3767156377855e-06,TRUE
t__SGB5117,10.0153382447917,7.34270052118483e-21,2.04197004970092e-19,TRUE
t__SGB3965,2.92205207912911,0.00386161412883341,0.00691773819398378,TRUE
t__SGB15225,0.419774048942623,0.674841528172342,0.725796413356625,FALSE
t__SGB15052,7.70074238347072,2.2818640234263e-13,2.37965819585886e-12,TRUE
t__SGB2325,-5.3601346727163,1.18031126699234e-07,5.03139985345641e-07,TRUE
t__SGB15333,-3.7769820874308,0.000197113841810765,0.000453206628415303,TRUE
t__SGB15383,1.93015976210949,0.0547182570212056,0.0771871065226669,FALSE
t__SGB14397,1.01621627624176,0.311089885490222,0.367023218436949,FALSE
t__SGB14888,-5.03640583098978,6.82464375754773e-07,2.40095900867944e-06,TRUE
t__SGB6173,1.32908567583598,0.185559829584651,0.229105582404727,FALSE
t__SGB14773,4.31883707913533,2.1873179450744e-05,5.99715342687064e-05,TRUE
t__SGB25497,6.83497283490552,1.22724669391078e-10,8.95890086554866e-10,TRUE
t__SGB8071,1.45534418665434,0.145877520657538,0.183604465655177,FALSE
t__SGB15081,-2.46320861150396,0.0141589040050115,0.0226542464080184,TRUE
t__SGB15012,0.383247151345886,0.701836979995127,0.747943058972909,FALSE
t__SGB15146,-4.48592413258195,9.19583561619839e-06,2.754034871723e-05,TRUE
t__SGB15145,2.83639898747137,0.00479681309740038,0.00836220551905022,TRUE
t__SGB15265,5.83703307562716,8.77380258459645e-09,5.02343206804346e-08,TRUE
t__SGB15299,4.47964413307008,1.0643043116695e-05,3.12338551766326e-05,TRUE
t__SGB3988,-7.52503967768249,2.44232446041926e-13,2.50231137699096e-12,TRUE
t__SGB15049,4.03708605510344,6.01457884153491e-05,0.000150107437754546,TRUE
t__SGB25493,2.17726575691966,0.0297685305271633,0.0445962849440024,TRUE
t__SGB14999,-2.14759857257359,0.0320342632868829,0.047724514692703,TRUE
t__SGB15089,-0.974803114777889,0.329891802925868,0.386085797412238,FALSE
t__SGB15132,-2.57362679002528,0.0101774467777406,0.0167426166709874,TRUE
t__SGB3959,0.134639796538202,0.89307597294587,0.904535616552473,FALSE
t__SGB4121,-1.53689209662109,0.124770954710346,0.159444721117816,FALSE
t__SGB14890,0.274675584712419,0.783764493031928,0.820125686224756,FALSE
t__SGB14252,4.42028236920901,1.31894316496059e-05,3.76284512778773e-05,TRUE
t__SGB6952,0.33518388041132,0.737637863248148,0.776181102949402,FALSE
t__SGB15051,6.09715140539601,4.37270898051077e-09,2.57945661072555e-08,TRUE
t__SGB14963,-7.42352419857935,3.85256475900762e-13,3.87913417113871e-12,TRUE
t__SGB16971_group,0.272953169642888,0.785017566095271,0.820125686224756,FALSE
t__SGB6939,-3.33624747924426,0.000890323544645664,0.00180537829886482,TRUE
t__SGB3958,5.14972131047712,3.99472571685625e-07,1.50510956041552e-06,TRUE
t__SGB15315,0.874982615590341,0.382117782672612,0.441021314388943,FALSE
t__SGB17163_group,3.7856840240555,0.000208321029688924,0.00047709600524836,TRUE
t__SGB15295,5.61498538183888,3.51861823728799e-08,1.6706284964034e-07,TRUE
t__SGB6473,2.72386185401292,0.0068780297550071,0.011476483934069,TRUE
t__SGB15078,-3.8493341837232,0.000124588675936971,0.000296978721417106,TRUE
t__SGB17167_group,2.09901863919738,0.0362755398720492,0.0536326969247512,FALSE
t__SGB14853,-3.02714049008613,0.00253920458556826,0.00472612331681118,TRUE
t__SGB8095,-1.04764028929445,0.295503335322891,0.350048575717177,FALSE
t__SGB6936,1.48900016434303,0.137152344793641,0.174503201218924,FALSE
t__SGB14809,-0.380492278303659,0.703667384933093,0.748527782879647,FALSE
t__SGB4832,1.46554876219202,0.143632145021157,0.181168839508328,FALSE
t__SGB17237,-0.664725969411369,0.506464472857648,0.565535854969151,FALSE
t__SGB13981,1.98287676905845,0.0487707490219825,0.0703262158736736,FALSE
t__SGB1679,4.53849846894134,8.50080612562466e-06,2.55900555534268e-05,TRUE
t__SGB4367,-4.05816537515357,5.83568803303747e-05,0.000146267888896733,TRUE
t__SGB5763_group,4.98622238440524,9.47208362361482e-07,3.29267668820896e-06,TRUE
t__SGB1899,9.10012761050472,2.36427345756231e-16,3.73171810599024e-15,TRUE
t__SGB5075,8.63775688159805,3.88183655937643e-17,6.86967439598738e-16,TRUE
t__SGB4537,-0.0931675452652959,0.925795239873696,0.932180034631445,FALSE
t__SGB4348,-0.600101745098943,0.548654216519366,0.606844815241116,FALSE
t__SGB9286,2.86646692356773,0.00446133971123072,0.00789521936775376,TRUE
t__SGB15085,-4.74184802364052,4.35682555895926e-06,1.38281854697403e-05,TRUE
t__SGB1786,-5.83447990779722,1.36914674389667e-08,7.26892453123323e-08,TRUE
t__SGB4119,0.366573509909162,0.714226410136275,0.755630839709392,FALSE
t__SGB15154,-2.00822833628399,0.0448728289926321,0.0650067983684311,FALSE
t__SGB3922_group,-2.83745688417149,0.00470322166298813,0.00822359715923673,TRUE
t__SGB15073,3.61307215189531,0.000354129061322809,0.00076881550859673,TRUE
t__SGB9281,6.12672408314554,4.33556981855894e-09,2.57945661072555e-08,TRUE
t__SGB14854,-3.23901199729482,0.00131103920098557,0.00259541319788331,TRUE
