	x
t__SGB4395	0.743497047782001
t__SGB4959	0.723946814995978
t__SGB15035	0.354166368948354
t__SGB6178	0.770115985783413
t__SGB3928	0.362268412289967
t__SGB6365	0.114681920166114
t__SGB2295	0.000255816936750447
t__SGB15318	0.529032498471789
t__SGB15267	0.0724250456695242
t__SGB15385	0.460079776024782
t__SGB3574	0.00911995586282724
t__SGB15101	0.440627068986346
t__SGB4711	0.010257337823016
t__SGB4826	0.00771558732070605
t__SGB15233	0.934532685096734
t__SGB14199	0.2033176286922
t__SGB14181	0.294901417304178
t__SGB15309_group	0.0302949560407171
t__SGB14906	0.124752448058443
t__SGB4716	0.00217215514173705
t__SGB53522	0.482359211376781
t__SGB4063	0.0110322095793582
t__SGB5061	0.022320588618818
t__SGB17241	0.0302743995132763
t__SGB4804	0.820051091490674
t__SGB6522	0.749003053988173
t__SGB14993	1.52077506881128e-05
t__SGB2303	1.05487897142759e-07
t__SGB15224	0.793806623630618
t__SGB6502	0.484418490841032
t__SGB4768	0.170440381162008
t__SGB9260	0.225830011951818
t__SGB15236	0.069155596908337
t__SGB14958	0.0933565795646683
t__SGB6847	0.118898219156523
t__SGB15317	0.000163916025149683
t__SGB15291	0.0151476992929562
t__SGB2304	0.665101893548079
t__SGB15350	0.83418605744695
t__SGB15467	0.00436188694470826
t__SGB4829	0.485500141689815
t__SGB15254	0.449913461725209
t__SGB4769	0.0973080057824245
t__SGB3957	0.0654461205219828
t__SGB6328	0.00148758164566679
t__SGB15239	0.74827177598968
t__SGB15249	0.0332768021511958
t__SGB4963	0.53581236091168
t__SGB10115	0.2749699188414
t__SGB15028	0.231815085185532
t__SGB14248	0.871294100875476
t__SGB7985	0.439393215520369
t__SGB15256	0.00100786799215227
t__SGB4938	0.220579064541654
t__SGB80143	0.0474521611434758
t__SGB15031	0.928751593186704
t__SGB4906	0.379973300345671
t__SGB4910	0.990970989774637
t__SGB4552	0.714376978036739
t__SGB15452	1.23313866629431e-13
t__SGB15180	0.302983047390013
t__SGB6148	0.00162626588040473
t__SGB4028	0.41132063060186
t__SGB4342	0.196478763987795
t__SGB14969	0.20172313941118
t__SGB4909	0.357456152522511
t__SGB15115	0.740614150878166
t__SGB4751	0.0201214300113099
t__SGB14968	0.806334848036221
t__SGB6180	0.314521954882725
t__SGB1776	0.0101993360993983
t__SGB4780	0.000280836893241708
t__SGB6765	0.0137862055198957
t__SGB72916	0.739878650301867
t__SGB4393	0.746740205950146
t__SGB17248	0.44599884551566
t__SGB14907	0.0703572108949177
t__SGB14912	0.053050876672215
t__SGB15216	0.0788164671116501
t__SGB4643	0.769310873097411
t__SGB9283	0.539459057587414
t__SGB4777	0.233701265254748
t__SGB4712	0.00196292561359087
t__SGB4436	0.120479853381128
t__SGB4893	0.103102571693493
t__SGB4772	0.0962668681692072
t__SGB14834	0.459605447748236
t__SGB15093	0.610594483153637
t__SGB17347	0.00314665678179257
t__SGB14250	0.223011763659662
t__SGB4770	0.373160661019046
t__SGB4750	0.00124505819382902
t__SGB47280	0.372934671068677
t__SGB15411	0.430041627840897
t__SGB17278	0.0213994825223664
t__SGB14749	0.336583842834892
t__SGB6172	0.234710875935268
t__SGB4779	0.245105812646533
t__SGB1588	0.36142108002832
t__SGB15229	0.834156420554674
t__SGB4183	0.131360041158213
t__SGB13979	0.121843909947994
t__SGB4808	0.152252146192919
t__SGB4951	4.40858422294691e-14
t__SGB15041	0.713914883858948
t__SGB4136	0.0317359878902138
t__SGB4247	0.00617805118497397
t__SGB15374	0.925099747429856
t__SGB4782	0.989298589471234
t__SGB4816	0.00164514314479807
t__SGB53461	0.245807315877791
t__SGB3813	0.000908818407627615
t__SGB47656	0.727658010704551
t__SGB1785	0.0174912147949155
t__SGB8056	0.0103475278577477
t__SGB15413	0.270263813428012
t__SGB71759	3.8739739043726e-06
t__SGB63327	9.64642287016269e-06
t__SGB14180	0.14195688555905
t__SGB2290	0.782377986570869
