	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
t__SGB66067	6	4	0.0159295965977223	0.00522320250760123	1.8413602511957	0.434632836792671	8.9096670351582	0.359499025942719	0.776507580425772	-2.4352624784054	1.3379101449343	0.0687287314688214	0.392144565675604
t__SGB6007	207	53	0.126631904605257	0.0250618046767616	6.46432673033875	4.64818070055152	9.11388917105968	4.34457769416662e-36	2.61630468742714e-33	-2.43021925984164	0.353565558828258	6.26632079558931e-12	2.35848648943993e-09
t__SGB6817	11	18	0.0136417992067517	0.197352284361441	0.743339679671472	0.314877960814282	1.67557580991889	0.459146561757108	0.822910891339674	2.4287056649729	0.940151047430007	0.00978561249647569	0.117388363453738
t__SGB6734	5	2	0.0041166003750004	0.000121299939540003	3.0709288739863	0.500810705344787	32.3440380414919	0.254170262383439	0.638426541085257	-2.41615641536197	1.93509411487353	0.211811808811799	0.591654493762811
t__SGB13165	5	12	0.000166200041820012	0.0183605021537706	0.506132642978726	0.138965970376631	1.55299637732853	0.227129285297111	0.605745153259169	2.41528980394374	1.30820777442033	0.0648546714703466	0.38571273664828
t__SGB1938	6	8	0.00168360008717003	0.00215309875336071	0.916568364237166	0.260775775462077	3.02947955522861	1	1	-2.41150137101953	1.14244211671602	0.0347869056276229	0.269263169266767
t__SGB15353	18	10	0.0625961006216855	0.00607429910620039	2.23358551946153	0.969718801241979	5.45540001055963	0.0534200732949543	0.273550749474673	-2.40972504770598	0.797012225097116	0.0024991194320787	0.0453304133131865
t__SGB2085	6	7	0.00101189976375019	0.0392244035725037	1.04876318782217	0.289672547153842	3.66417026106901	1	1	2.40022149323855	1.16043191279854	0.0386037105935693	0.283501884383505
t__SGB6044	9	2	0.00121339978440012	8.39999509500304e-05	5.55892627223762	1.14514464402816	53.0267596160925	0.0158207716654235	0.123331518187664	-2.39954084707712	1.46593489671521	0.101658206838018	0.472010595937419
t__SGB14998	12	21	0.00113819998746002	0.0116359021774913	0.693547770635847	0.308588004653918	1.4888828496539	0.377665885361048	0.799319280116599	2.39718182232733	0.711487748645048	0.00075372368097093	0.0186864073866016
t__SGB10398	4	5	0.012134804550682	0.000273499995000007	0.978325611449293	0.193334167238129	4.5651774870881	1	1	-2.3959777682942	1.44331587381548	0.0969042198265802	0.460945664925486
t__SGB7200	2	3	0.000246399795950101	0.0327425929477516	0.814926276209714	0.0678500741539778	7.13584259346253	1	1	2.39164756980042	2.00536053513568	0.233015398652539	0.591654493762811
t__SGB14768	5	2	0.000668999674780121	0.0089626975694243	3.0709288739863	0.500810705344787	32.3440380414919	0.254170262383439	0.638426541085257	2.39003317202874	1.69563955584994	0.158682281929668	0.560131712649743
t__SGB6260	7	2	0.0051279978066517	0.000878899758870005	4.31169375945044	0.817299854055011	42.6284941007122	0.0873235545039474	0.366477189318887	-2.38418599724903	1.53124893248169	0.119465615426978	0.509189099928372
t__SGB6038	55	22	0.279128370460692	0.0326061923363851	3.23975548484057	1.91884182119595	5.64453952867576	1.70910637007918e-06	8.87261944880762e-05	-2.36535483349842	0.639184865836262	0.000215107114020618	0.00744468414156416
t__SGB4482	30	7	0.00421220017067026	0.000644300160670028	5.43631155252004	2.319810688926	14.762616584947	6.7728041694554e-06	0.00029132733363186	-2.34885454247637	0.820094020184441	0.00418158520699574	0.0653640921025992
t__SGB1912	6	2	0.0231447034999319	0.0720442234741154	3.69031433108775	0.657122917153083	37.5268098705799	0.150506195699425	0.506339838269238	2.34070252673686	1.84146757363201	0.203690546054853	0.591654493762811
t__SGB6645	13	4	0.00130710062146056	0.000120000041280023	4.03045726745918	1.23752800456104	17.0416144628991	0.0122136775964817	0.102153842341684	-2.3250298654703	1.06437033718052	0.0289315369282137	0.240643253289645
t__SGB2025	2	2	0.0018981005731301	0.0081616044377323	1.22355153451193	0.0884957361414718	16.9173877103714	1	1	2.29923451506268	2.11991619781784	0.278104413434402	0.591654493762811
t__SGB6136	15	2	0.0273718917365635	0.0003264	9.34917683643691	2.16202495324576	84.692525519274	0.000301497501614739	0.00605205984907987	-2.29422784247324	1.75747920581229	0.191753872968359	0.591654493762811
t__SGB24890	2	2	0.00038680003052	3.83000021000013e-05	1.22355153451193	0.0884957361414718	16.9173877103714	1	1	-2.28534013623844	2.05388554392259	0.265841125277257	0.591654493762811
t__SGB1982	27	7	0.669239669418264	0.129217028289396	4.86962137401808	2.05176545655633	13.3333554748663	6.72295903115105e-05	0.00182367834619782	-2.27915316334334	1.39054472650727	0.101205717956342	0.472010595937419
t__SGB12320	25	15	0.129214085306478	0.00330040058818037	2.07779619601576	1.04346227358788	4.27682447273607	0.0349403660987999	0.213361252277242	-2.27001919907678	0.767008077214889	0.00308062051679414	0.0516628472747332
t__SGB9256	13	7	0.0827757043785807	0.0031671998310601	2.29536307898905	0.845363016075574	6.83478830347413	0.0749386916789928	0.338756986981294	-2.25019765115841	1.11073560224803	0.0427788726674589	0.303790532079526
t__SGB6001	75	21	0.00867729969312149	0.00106669991859009	4.78925363970712	2.88039783044272	8.28066905955144	9.90162626119257e-12	1.56914719328689e-09	-2.23906977807359	0.469882688371071	1.88696703662394e-06	0.000153558317493911
t__SGB6697	23	6	0.0121889014829808	0.00174770008606006	4.81555795219511	1.89136185197825	14.5460364523726	0.000209807017971281	0.00451234950793948	-2.22747258219008	0.921538801364298	0.0156437321975904	0.159132694753192
t__SGB14109	14	8	0.013083599116291	0.00674409904537021	2.16365539176076	0.841045259233237	5.99104902582002	0.0864024834840248	0.366477189318887	-2.21830930987531	0.953796075587489	0.0200308792120674	0.183642424510349
t__SGB15239	27	31	0.317458141468977	0.0483610022297656	1.06792315484149	0.606357455315	1.87054832085551	0.893050687800042	1	-2.2168567866321	0.595702593283704	0.000198109261274615	0.0071012736392603
t__SGB14911	3	6	0.00455719737226154	0.032758705199962	0.609970525455724	0.0983176374644033	2.86889901518435	0.52613584990253	0.859619543007098	2.21208410828314	1.44492680337282	0.125786297483923	0.515998013248084
t__SGB1636	47	35	0.728721018030938	1.4679819241575	1.69037222311605	1.05365207016205	2.73429715573503	0.0224760739120823	0.152422203939819	2.20384495544319	0.602930799698351	0.000256961131597899	0.00869337041844129
t__SGB6422	16	46	0.0360164041100836	0.239560493241146	0.411553175695963	0.215362947077992	0.748977859871047	0.00243986783668853	0.0306101752344549	2.19828189280428	0.662312654616959	0.00090308102126202	0.0215807694842853
t__SGB13956	2	2	0.0431601784254308	0.00015120000206	1.22355153451193	0.0884957361414718	16.9173877103714	1	1	-2.19486559656689	2.41566368804849	0.363562712216549	0.617290548725713
t__SGB7932	2	4	4.19999871000124e-06	0.000358699942980019	0.610556193715189	0.0550964239692876	4.27505502148319	0.696254493354198	0.970565870134024	2.19062591133292	1.70158056396398	0.197952633186518	0.591654493762811
t__SGB1690	2	4	0.0100791959924016	0.0748610218281269	0.610556193715189	0.0550964239692876	4.27505502148319	0.696254493354198	0.970565870134024	2.18724776397067	2.18539109940658	0.316899535539103	0.616398256788269
t__SGB6826	160	50	0.206207111939487	0.0282760972012527	4.82631149723224	3.41958252909059	6.90777181497881	5.07230526416445e-23	1.69696790559991e-20	-2.17710431491403	0.366384124107008	2.81331757889802e-09	4.56039100061925e-07
t__SGB5741	3	4	0.0160260958541515	0.00363270013654	0.91694520268088	0.133836464561183	5.44103989524548	1	1	-2.16975504827842	1.72300115110672	0.207926247482227	0.591654493762811
t__SGB3546	5	2	0.0098639968720839	0.0925227023843902	3.0709288739863	0.500810705344787	32.3440380414919	0.254170262383439	0.638426541085257	2.1637567462266	1.5662535711798	0.167129704033472	0.572200435237407
t__SGB65924	4	3	6.60000234000137e-06	0.0012743006277603	1.63397161019841	0.275393388903459	11.196338722979	0.707447279096048	0.973103589473824	2.15014833970651	1.62589643116044	0.186022113897248	0.591654493762811
t__SGB33555	2	10	4.68999951500006e-05	0.000606199953150022	0.242536019258982	0.0257485445336051	1.14379349163316	0.0765474784305887	0.340449715737818	2.14727302996021	1.73982658128527	0.217132870510413	0.591654493762811
t__SGB6511	4	11	0.0038519013516011	0.102256647094394	0.441635119138134	0.102077727392124	1.49914650031857	0.195144236401323	0.559016745578764	2.14517477905418	1.31202081573456	0.102045733026501	0.47270723406584
t__SGB14384	9	4	0.000616400172620054	7.02000544800666e-05	2.77395209925215	0.769976481177778	12.3861251515651	0.0952935250724794	0.378097149225826	-2.13929688839533	1.1140433490026	0.0548200792392362	0.348617542162655
t__SGB4028	6	11	0.000344000090890015	0.00490810176230253	0.664282001212417	0.200606324552213	1.97187332548804	0.471217991633658	0.832162681999381	2.12823092409659	1.01379113372252	0.0357922712111585	0.272100345095236
t__SGB15109	19	7	0.125273403828884	0.0196803923669836	3.38497636588261	1.35228647596712	9.58653802433346	0.00464793655082625	0.0501610643531822	-2.12461737447604	1.02010633434748	0.0372748302546879	0.27950549910731
t__SGB7916	2	2	0.000129200017380003	0.0066944985994202	1.22355153451193	0.0884957361414718	16.9173877103714	1	1	2.12395031186587	2.05038434400207	0.300258543943064	0.60372178968113
t__SGB4702	8	4	0.00270880007237003	0.000381899936350055	2.46217969843096	0.656168789668525	11.224753476925	0.152208675388442	0.508657404655492	-2.11779561929419	1.23552196765853	0.0865122322982148	0.436328863400209
t__SGB4145	3	12	0.000458899966950001	0.0115768980596208	0.302850718008405	0.0546212770821421	1.12855585992493	0.0665733653555738	0.32021150652657	2.11234019167905	1.33957182773865	0.114823797639108	0.501791661380775
t__SGB9275	6	10	0.00298730016484022	0.0295933943222021	0.731571740085897	0.217331908882716	2.23522093253264	0.620098479314335	0.927068779153656	2.10856377413005	1.07270523447639	0.0493389755270683	0.327946258966894
t__SGB6627	25	10	0.00381810042558025	0.000240700018690019	3.1353095125607	1.44160387383953	7.37113657220299	0.0017112586357044	0.0237446993184607	-2.10297215399964	0.718334452347303	0.00341625574064119	0.0553029356724228
t__SGB6701	5	7	0.000412200095370011	0.00435280080494021	0.872744703707546	0.217373243077716	3.21100370536587	1	1	2.09433405206146	1.30527230233038	0.108599726341707	0.488050411962508
t__SGB54318	9	19	0.00103039956866024	0.0131214017855523	0.573802560349248	0.227041907559109	1.3415868685471	0.184271800777656	0.557630544865852	2.0832346644023	0.826809465623408	0.0117486028258802	0.135019248506585
t__SGB15137	10	3	0.0148180034754016	0.00173729984732	4.11997898558867	1.0551132696726	23.3898493762213	0.0246227494775177	0.162886860251126	-2.08016665954546	1.58730568311229	0.190026198590522	0.591654493762811
t__SGB4681	3	2	0.0012214996602402	9.48000398000256e-05	1.83756592004245	0.209863328500279	22.0567870057468	0.662504992615776	0.941388642173714	-2.0796107110212	1.82633153619872	0.254835843930117	0.591654493762811
t__SGB1894	7	3	0.273991092761479	0.0110875048613525	2.87145751766774	0.652424200804546	17.2737782038273	0.124002346151758	0.453670794973198	-2.07921429212812	2.16661183355564	0.337225529146645	0.617290548725713
t__SGB15013	14	14	0.0620496087630183	0.00937109848485106	1.22765279053296	0.538228792545168	2.80022211104807	0.702091890542965	0.973103589473824	-2.07772283473749	0.847777721917763	0.0142544175199155	0.150302413143361
t__SGB1481	26	6	0.449954627719158	0.262109796209704	5.46931586730399	2.18394724181512	16.3486985490509	3.69996748447255e-05	0.001081611853956	2.07298618467696	1.45484469330244	0.154190485275596	0.55298201199233
t__SGB15161	5	3	0.0056889020388927	0.0012831004730702	2.04529346412012	0.396276568874481	13.2185540007905	0.479264074320625	0.836558914654726	-2.06893447817418	1.33788014754347	0.122001388254678	0.509600719883604
t__SGB17302	6	6	0.00320100047999012	0.000342199912490057	1.22490210197996	0.325820562798757	4.60502091631109	0.776597699021581	1	-2.06526755341651	1.1619672006378	0.0755042830434109	0.410301836607834
t__SGB1977	44	18	0.260819272484156	0.0313404991071325	3.12765268622672	1.75023438277741	5.81062505194927	3.6915003176775e-05	0.001081611853956	-2.06387196017184	0.739126198330716	0.00523326480550601	0.0746794328406569
t__SGB1897	6	5	0.092566354002563	0.0853134128441644	1.4715001243618	0.372345235663233	6.12385183711862	0.556509900226372	0.886587994487623	2.05291808454942	1.72970538801161	0.235282859300825	0.591654493762811
t__SGB6961	6	15	0.000327099942800012	0.00587940088592113	0.484821340424122	0.153223933576902	1.3313626994044	0.183995357286704	0.557630544865852	2.04766722013201	0.998070449315244	0.0402060295825855	0.28978118280137
t__SGB4243	3	3	0.0298313104502735	0.026170905189221	1.22388765344066	0.163382809204681	9.17026942216817	1	1	-2.04489253766766	2.04983105943642	0.318477840335231	0.617281286757023
t__SGB4050	8	3	0.00481149824734102	0.00098230018694	3.28638019735157	0.784852312222899	19.3074100715105	0.07383561604432	0.335829365422126	-2.04484221444137	1.47992276508873	0.167056999532775	0.572200435237407
t__SGB6521	2	2	3.06999693600361e-05	0.0007776996105302	1.22355153451193	0.0884957361414718	16.9173877103714	1	1	2.0421057730316	1.94048500455862	0.292630401686945	0.597135894590253
t__SGB6014	132	29	0.0492297990101249	0.00295600049587015	6.68360523795708	4.36984237106731	10.5248579422384	2.27286576427548e-24	1.14059980270558e-21	-2.03726497206407	0.371127955544238	4.0333106410273e-08	5.06012430838883e-06
t__SGB14221	7	6	0.00138370021491012	0.0098482975456109	1.43105328986326	0.409599605189691	5.18100500720093	0.58250462727879	0.899499834758302	2.02936668337975	1.05489465792427	0.0543843718911199	0.347667396526883
t__SGB5083	21	42	0.122280959899567	0.545522467084954	0.599118917644857	0.333401310650189	1.04700252378166	0.0694733845714479	0.325325600224929	2.02809121891699	0.782979353577849	0.00959137456390402	0.116921574137308
t__SGB7970	13	7	0.0280643979879915	0.00469829909435016	2.29536307898905	0.845363016075574	6.83478830347413	0.0749386916789928	0.338756986981294	-2.02495507733405	1.00898351801607	0.0447575617925164	0.308743780804559
